Rank	Uinversity	Country	Citations
64	University of Manchester	UNITED KINGDOM	336015
65	Bristol University	UNITED KINGDOM	328089
66	Emory University	USA	322036
67	Tufts University	USA	315706
68	Texas A&M University	USA	313657
69	VU University of Amsterdam / Vrije Universiteit Amsterdam	NETHERLANDS	311417
70	Indiana University Bloomington	USA	309288
71	University of Notre Dame	USA	302242
72	Université d'Ottawa / University of Ottawa	CANADA	301908
73	Brown University	USA	301212
74	M D Anderson Cancer Center University of Texas	USA	299271
75	University of Vermont	USA	298246
76	Sungkyunkwan University / 성균관대학교	SOUTH KOREA	296359
77	Iowa State University	USA	296174
78	Catholic University of Leuven	BELGIUM	295789
79	Korea University / 고려대학교	SOUTH KOREA	295681
80	University of Texas San Antonio	USA	288043
81	Leiden University / Universiteit Leiden	NETHERLANDS	285995
82	Seoul National University / 서울대학교	SOUTH KOREA	285585
83	University of Queensland	AUSTRALIA	285434
84	Stony Brook University	USA	282814
85	Zhejiang University (National Che Kiang University) / 浙江大学	CHINA	281891
86	University of Texas Southwestern Medical Center at Dallas	USA	281463
87	University of Alberta	CANADA	279343
88	Simon Fraser University	CANADA	278767
89	Karolinska Institute / Karolinska Institutet	SWEDEN	278622
90	Dartmouth College	USA	278149
91	University of California Santa Cruz	USA	276763
92	Hong Kong University of Science & Technology	HONG KONG	276629
93	Eidgenössische Technische Hochschule ETH Zürich / Swiss Federal Institute of Technology Zurich	SWITZERLAND	276084
94	University of Sydney	AUSTRALIA	275963
95	University of Utah	USA	275412
96	Tsinghua University China / 清华大学	CHINA	273153
97	Purdue University	USA	272979
98	University of Helsinki / Helsingin yliopisto	FINLAND	270672
99	Université de Montréal	CANADA	269993
100	Kyoto University / 京都大学	JAPAN	266891
101	University of Melbourne	AUSTRALIA	261403
102	Université de Geneve	SWITZERLAND	260131
103	Universität Zürich	SWITZERLAND	259146
104	University of California Riverside	USA	258627
105	Baylor College of Medicine	USA	258432
106	University of Copenhagen / Københavns Universitet	DENMARK	257362
107	City University of Hong Kong	HONG KONG	257343
108	University of Groningen / Rijksuniversiteit Groningen	NETHERLANDS	256412
109	Oregon Health & Science University	USA	254659
110	Hebrew University of Jerusalem	ISRAEL	253560
111	University of Massachusetts Medical School at Worcester	USA	253062
112	University of Adelaide	AUSTRALIA	252666
113	Peking University / 北京大学	CHINA	252371
114	University of Georgia	USA	251139
115	University of Illinois Chicago	USA	250403
116	Rensselaer Polytechnic Institute	USA	248209
117	Korea Advanced Institute of Science & Technology KAIST	SOUTH KOREA	248071
118	Aarhus University / Aarhus Universitet	DENMARK	246708
119	North Carolina State University	USA	246680
120	University of Virginia	USA	244591
121	Harbin Institute of Technology / 哈尔滨工业大学	CHINA	244258
122	Universität Bern	SWITZERLAND	243074
123	Case Western Reserve University	USA	242827
124	University of Iowa	USA	241044
125	University of Colorado Boulder	USA	240886
126	University of Western Ontario	CANADA	238788
127	Università degli Studi di Ferrara	ITALY	237483
128	University of York	UNITED KINGDOM	236865
129	Colorado State University	USA	235610
130	Macquarie University	AUSTRALIA	235195
131	City University of New York	USA	234480
132	University of Connecticut	USA	233904
133	Université Paris 6 Pierre and Marie Curie	FRANCE	233142
134	Utrecht University / Universiteit Utrecht	NETHERLANDS	233007
135	London School of Economics and Political Science	UNITED KINGDOM	230891
136	Yonsei University / 연세대학교	SOUTH KOREA	229831
137	Wageningen University & Research Centre	NETHERLANDS	229405
138	Virginia Polytechnic Institute and State University	USA	229011
139	University of Arizona	USA	228912
140	University of Leeds	UNITED KINGDOM	228801
141	University of Cincinnati	USA	228699
142	University of New Mexico	USA	227681
143	University of Hong Kong	HONG KONG	226199
144	Monash University	AUSTRALIA	224533
145	University of Miami	USA	224184
146	University of Tokyo / 東京大学	JAPAN	224159
147	Tel Aviv University	ISRAEL	223981
148	King Abdullah University of Science & Technology	SAUDI ARABIA	223614
149	University of Exeter	UNITED KINGDOM	219654
150	Yeshiva University	USA	219514
151	Queen's University Kingston	CANADA	219067
152	University of South Florida	USA	219023
153	University of Arkansas Fayetteville	USA	218908
154	Lancaster University	UNITED KINGDOM	218614
155	Fudan University (Shanghai Medical University) / 复旦大学	CHINA	217872
156	Florida State University	USA	217387
157	University of New Hampshire	USA	216266
158	Università degli Studi di Padova	ITALY	215990
159	Maastricht University / Universiteit Maastricht	NETHERLANDS	213986
160	National Chiao Tung University	TAIWAN	212884
161	Durham University	UNITED KINGDOM	212792
162	University of Hawaii System	USA	212451
163	University of Central Florida	USA	212384
164	Universidade de São Paulo USP	BRAZIL	211833
165	Università di Bologna (Università degli Studi di Bologna)	ITALY	211641
166	National Taiwan University	TAIWAN	210322
167	Università degli Studi di Perugia	ITALY	209904
168	University of Nebraska Lincoln	USA	207117
169	Weizmann Institute of Science	ISRAEL	206297
170	University of Waterloo	CANADA	206093
171	Radboud University / Radboud Universiteit Nijmegen	NETHERLANDS	205505
172	University of Alabama Birmingham	USA	205206
173	Ghent University / Universiteit Gent	BELGIUM	205109
174	University of Western Australia	AUSTRALIA	205067
175	Brunel University	UNITED KINGDOM	202648
176	University of Delaware	USA	201985
177	Cardiff University	UNITED KINGDOM	201815
178	Shanghai Jiao Tong University / 上海交通大学	CHINA	201668
179	Drexel University	USA	201594
180	University of Auckland	NEW ZEALAND	200961
181	Chinese University of Hong Kong	HONG KONG	200840
182	University of Sheffield	UNITED KINGDOM	200202
183	University of New South Wales	AUSTRALIA	199790
184	University of Warwick	UNITED KINGDOM	198421
185	Nanyang Technological University	SINGAPORE	198105
186	Université Catholique de Louvain	BELGIUM	197680
187	Syracuse University	USA	197018
188	Osaka University / 大阪大学	JAPAN	196993
189	Kent State University	USA	196714
190	Nanjing University / 南京大学	CHINA	196316
191	Hong Kong Polytechnic University	HONG KONG	195812
192	Uppsala University / Uppsala Universitet	SWEDEN	195171
193	University of Birmingham	UNITED KINGDOM	194777
194	Ludwig Maximilians Universität München	GERMANY	194624
195	Huazhong University of Science & Technology / 华中科技大学	CHINA	194225
196	Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam	NETHERLANDS	193778
197	Aalto University / Aalto-yliopisto	FINLAND	193329
198	Gwangju Institute of Science & Technology / 광주과학기술원	SOUTH KOREA	193017
199	Oregon State University	USA	190937
200	University at Buffalo	USA	190250
201	Trinity College Dublin	IRELAND	189185
202	George Washington University	USA	188638
203	University of Calgary	CANADA	187789
204	University of Amsterdam / Universiteit van Amsterdam	NETHERLANDS	187752
205	Università degli Studi di Trento	ITALY	186504
206	University of Nottingham	UNITED KINGDOM	186254
207	University of Liverpool	UNITED KINGDOM	186129
208	Newcastle University Newcastle upon Tyne	UNITED KINGDOM	185937
209	Università degli Studi di Roma La Sapienza	ITALY	185854
210	Università degli Studi di Torino	ITALY	183538
211	University of Waikato	NEW ZEALAND	181880
212	Soochow University / 苏州大学	CHINA	180914
213	Georgia State University	USA	180832
214	Université de Lausanne	SWITZERLAND	180425
215	University of Dundee	UNITED KINGDOM	180231
216	University of Aberdeen	UNITED KINGDOM	180024
217	Università degli Studi di Firenze	ITALY	179868
218	Queen Mary University of London	UNITED KINGDOM	178948
219	University of Saint Andrews	UNITED KINGDOM	178548
220	University of Sussex	UNITED KINGDOM	178408
221	Pusan National University (Miryang) / 부산대학교	SOUTH KOREA	177645
222	University of Colorado Denver	USA	177327
223	University of Oslo / Universitetet i Oslo	NORWAY	176722
224	University of Tennessee Knoxville	USA	176321
225	University of Texas Arlington	USA	176283
226	Xi'An Jiaotong University / 西安交通大学	CHINA	175539
227	Georgetown University	USA	175418
228	Southeast University China / 东南大学	CHINA	175057
229	Scuola Normale Superiore di Pisa	ITALY	173956
230	Rockefeller University	USA	173336
231	University of Texas Dallas	USA	172781
232	Aalborg University / Aalborg Universitet	DENMARK	172445
233	Technical University of Denmark / Danmarks Tekniske Universitet	DENMARK	171622
234	Universidad de Granada	SPAIN	171608
235	Universität Wien	AUSTRIA	170943
236	University of Houston	USA	170864
237	Università degli Studi di Milano	ITALY	169028
238	Delft University of Technology TU Delft	NETHERLANDS	167785
239	Universität Tubingen	GERMANY	167647
240	Technische Universität München	GERMANY	166348
241	University of Kansas	USA	166179
242	Stockholm University / Stockholms Universitet	SWEDEN	166166
243	San Diego State University	USA	165424
244	University of Cape Town	SOUTH AFRICA	164542
245	Technion Israel Institute of Technology	ISRAEL	162076
246	Universität Basel	SWITZERLAND	160692
247	Clemson University	USA	158807
248	Indiana University/Purdue University Indianapolis	USA	158288
249	University of Victoria British Columbia	CANADA	158177
250	Loughborough University	UNITED KINGDOM	157789
251	University of Oregon	USA	157485
252	University of Antwerp / Universiteit Antwerpen	BELGIUM	157456
253	University of Maryland Baltimore County	USA	156558
254	Royal Institute of Technology / Kungliga Tekniska Högskolan	SWEDEN	156494
255	Beijing Normal University / 北京师范大学	CHINA	156488
256	Sun Yat Sen University (Zhongshan University) / 中山大学	CHINA	155109
257	Technische Universität Berlin	GERMANY	155031
258	University of Science & Technology of China / 中国科学技术大学	CHINA	154388
259	University of Gothenburg / Göteborgs Universitet	SWEDEN	153152
260	Ruprecht Karls Universität Heidelberg	GERMANY	153057
261	Universitat Pompeu Fabra	SPAIN	152620
262	Tokyo Institute of Technology / 東京工業大学	JAPAN	151608
263	York University	CANADA	151598
264	Wayne State University	USA	151545
265	Universitat de Barcelona	SPAIN	151365
266	Technische Universität Dresden	GERMANY	150691
267	National Central University	TAIWAN	150626
268	Washington State University Pullman	USA	150432
269	University of South Australia	AUSTRALIA	149624
270	Missouri University of Science & Technology	USA	149380
271	Tokyo Metropolitan University / 首都大学東京	JAPAN	149364
272	Universität zu Köln	GERMANY	149170
273	Shandong University / 山东大学	CHINA	149161
274	Johannes Gutenberg Universität Mainz	GERMANY	147981
275	University College Dublin National University of Ireland	IRELAND	147108
276	Università degli Studi di Roma Tor Vergata	ITALY	146272
277	New Jersey Institute of Technology	USA	145742
278	University of Kentucky	USA	144800
279	Università degli Studi di Parma	ITALY	144422
280	Wake Forest University	USA	143720
281	University of East Anglia	UNITED KINGDOM	142423
282	Universität Konstanz	GERMANY	142205
283	Freie Universität Berlin	GERMANY	142052
284	Università degli Studi di Napoli Federico II	ITALY	141227
285	Auburn University	USA	140956
286	Universidade Estadual Paulista Júlio de Mesquita Filho	BRAZIL	140177
287	University of Missouri Columbia	USA	140160
288	University of Newcastle	AUSTRALIA	140019
289	James Cook University	AUSTRALIA	139913
290	Dalhousie University	CANADA	139577
291	Université Laval	CANADA	139371
292	Eötvös Loránd University Budapest / Eötvös Loránd Tudományegyetem ELTE	HUNGARY	138850
293	Università degli Studi di Verona	ITALY	138695
294	Medical University of South Carolina	USA	138663
295	Eindhoven University of Technology / Technische Universiteit Eindhoven	NETHERLANDS	138416
296	Wuhan University / 武汉大学	CHINA	138236
297	University of Reading	UNITED KINGDOM	138191
298	Tianjin University / 天津大学	CHINA	137812
299	Nagoya University / 名古屋大学	JAPAN	136772
300	Ulsan National Institute of Science & Technology UNIST	SOUTH KOREA	136246
301	Tongji University / 同济大学	CHINA	136001
302	Virginia Commonwealth University	USA	135522
303	University of Technology Sydney	AUSTRALIA	135251
304	École Normale Supérieure Paris	FRANCE	134676
305	Université Libre de Bruxelles	BELGIUM	133877
306	Karlsruhe Institute of Technology (Universität Karlsruhe)	GERMANY	133758
307	University of Western Sydney	AUSTRALIA	133117
308	Florida International University	USA	132884
309	University of South Carolina	USA	132453
310	Friedrich Alexander Universität Erlangen Nürnberg FAU	GERMANY	132414
311	George Mason University	USA	132363
312	Louisiana State University	USA	132279
313	Kansas State University	USA	132220
314	University of Oklahoma	USA	131740
315	Texas Tech University	USA	131547
316	Universität Innsbruck	AUSTRIA	131352
317	Universidade Federal do Rio de Janeiro	BRAZIL	130992
318	University of Iceland / Háskóli Íslands	ICELAND	130902
319	Université Joseph Fourier Grenoble 1	FRANCE	130031
320	National Tsing Hua University Taiwan	TAIWAN	129429
321	Université de Liège	BELGIUM	129284
322	Universität Leipzig	GERMANY	129093
323	(3) University of Texas Medical Branch Galveston	USA	128853
324	University of Louisville	USA	127193
325	Old Dominion University	USA	127062
326	Queensland University of Technology	AUSTRALIA	126462
327	Flinders University	AUSTRALIA	126089
328	Dalian University of Technology / 大连理工大学	CHINA	126085
329	Università degli Studi di Pavia	ITALY	125771
330	University of Leicester	UNITED KINGDOM	125186
331	London School of Hygiene & Tropical Medicine	UNITED KINGDOM	124425
332	Sichuan University / 四川大学	CHINA	123990
333	Xiamen University / 厦门大学	CHINA	123910
334	Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet	NORWAY	123877
335	University of Bath	UNITED KINGDOM	123303
336	University of Surrey	UNITED KINGDOM	122925
336	University of Nevada las Vegas	USA	122925
338	Nankai University / 南开大学	CHINA	122683
339	East China University of Science & Technology / 华东理工大学	CHINA	122631
340	Università degli Studi di Brescia	ITALY	122436
341	International School for Advanced Studies / Scuola internazionale superiore di studi avanzati (SISSA) di Trieste	ITALY	122414
342	University of Wollongong	AUSTRALIA	122210
343	University of Alabama	USA	122095
344	National Chung Hsing University	TAIWAN	121448
345	Linköping University / Linköpings Universitet	SWEDEN	121147
346	University of Nebraska Medical Center	USA	120578
347	Curtin University of Technology	AUSTRALIA	120240
348	Nanjing University of Aeronautics & Astronautics / 南京航空航天大学	CHINA	119671
349	Carleton University	CANADA	119271
350	Rheinische Friedrich Wilhelms Universität Bonn	GERMANY	118777
351	Universität Würzburg	GERMANY	118623
352	Universidade do Estado do Rio de Janeiro UERJ	BRAZIL	118145
353	University of Bergen / Universitetet i Bergen	NORWAY	117528
354	Université Paris Sud (Paris XI)	FRANCE	117244
355	Aix-Marseille Université	FRANCE	116363
356	University of Wyoming	USA	115974
357	University College Cork National University of Ireland	IRELAND	115822
358	University of Macau	MACAU	115770
359	Hallym University / 한림대학교	SOUTH KOREA	114766
360	Umea University / Umeå Universitet	SWEDEN	114615
361	Brigham Young University	USA	114594
362	University of Ulsan / 울산대학교	SOUTH KOREA	114266
363	Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV	MEXICO	113790
364	Universidad Nacional Autónoma de México	MEXICO	113594
365	Brandeis University	USA	112669
366	Università di Pisa (Università degli Studi di Pisa)	ITALY	112569
367	Griffith University	AUSTRALIA	112130
368	Deakin University	AUSTRALIA	112124
369	Portland State University	USA	111692
370	Universität Stuttgart	GERMANY	111643
371	Thomas Jefferson University	USA	111543
372	University of Tasmania	AUSTRALIA	109971
373	Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学	CHINA	109563
374	University of California Merced	USA	109167
375	Universidade Estadual de Campinas UNICAMP	BRAZIL	109154
376	University of Twente / Universiteit Twente	NETHERLANDS	108933
377	Tohoku University / 東北大学	JAPAN	108828
378	University of Memphis (incl. Lambuth)	USA	107531
379	Hokkaido University / 北海道大学	JAPAN	107313
380	Universidad Complutense de Madrid	SPAIN	107141
381	Friedrich Schiller Universität Jena	GERMANY	106890
382	University of Electronic Science & Technology of China / 电子科技大学	CHINA	106703
383	Binghamton University	USA	106702
384	Oklahoma State University Stillwater	USA	106459
385	Università degli Studi di Trieste	ITALY	106156
386	Università degli Studi di Genova	ITALY	106074
387	Rochester Institute of Technology	USA	106050
388	Pohang University of Science & Technology / 포항공과대학교	SOUTH KOREA	105582
389	La Trobe University	AUSTRALIA	105246
390	University of Kent	UNITED KINGDOM	105217
391	Università degli Studi di Siena	ITALY	105057
392	University of Idaho	USA	104708
393	Christian Albrechts Universität zu Kiel	GERMANY	104605
394	Universität Potsdam	GERMANY	104463
395	Hunan University / 湖南大学	CHINA	104442
396	Universidade de Aveiro	PORTUGAL	104434
397	Illinois Institute of Technology	USA	104418
398	INSEAD Business School	FRANCE	104163
399	Seconda Università degli Studi di Napoli	ITALY	104089
400	Boston College	USA	103852
401	University of Lethbridge	CANADA	103766
402	University of Rhode Island	USA	103652
403	Institute of Cancer Research University of London	UNITED KINGDOM	103127
404	University of Guelph	CANADA	103107
405	Beijing University of Posts & Telecommunications / 北京邮电大学	CHINA	103053
406	Nanjing Agricultural University / 南京农业大学	CHINA	102894
407	China Agricultural University / 中国农业大学	CHINA	102797
408	University of Otago	NEW ZEALAND	102743
409	University of Maine System	USA	102209
410	Beijing (Northern) Jiaotong University / 北京交通大学	CHINA	102133
411	Universitat de València	SPAIN	102026
412	University of North Texas	USA	101842
413	Medizinische Universität Wien	AUSTRIA	101082
414	Université de Bordeaux	FRANCE	101063
415	Ningbo University / 宁波大学	CHINA	100553
416	University of Akron	USA	100502
417	Universidade de Lisboa	PORTUGAL	100042
418	London Business School	UNITED KINGDOM	99812
419	University of Tartu / Tartu Ülikool	ESTONIA	99665
420	Indian Institute of Science Bangalore	INDIA	99171
421	Birkbeck University of London	UNITED KINGDOM	98949
421	Swansea University	UNITED KINGDOM	98949
423	RMIT University	AUSTRALIA	98916
424	Universidad de Buenos Aires	ARGENTINA	98888
425	Tulane University	USA	98854
426	University of Strathclyde	UNITED KINGDOM	98213
427	Chalmers University of Technology	SWEDEN	98144
428	Universidade Federal de Minas Gerais UFMG	BRAZIL	97989
429	Queen's University Belfast	UNITED KINGDOM	97953
430	European University Institute	ITALY	97612
431	Saint Louis University	USA	97527
432	Beijing Institute of Technology / 北京理工大学	CHINA	97477
433	Università degli Studi di Milano Bicocca	ITALY	97331
434	Heinrich Heine Universität Düsseldorf	GERMANY	97034
435	Indian Institute of Technology Bombay	INDIA	97000
436	Northeastern University China / 东北大学	CHINA	96979
437	Università degli Studi di Bari Aldo Moro	ITALY	95977
438	Georg-August-Universität Göttingen	GERMANY	95797
439	Tilburg University	NETHERLANDS	95512
440	Worcester Polytechnic Institute	USA	95434
441	University at Albany	USA	95353
442	University of Arkansas for Medical Sciences	USA	95260
443	University of Pretoria	SOUTH AFRICA	95192
444	Rheinisch Westfalische Technische Hochschule Aachen	GERMANY	95124
445	University of Essex	UNITED KINGDOM	94736
446	Université Toulouse 3 Paul Sabatier	FRANCE	94670
447	Universität Freiburg	GERMANY	94060
448	Florida Atlantic University	USA	93835
449	Università della Calabria (Università degli Studi della Calabria)	ITALY	93724
450	Copenhagen Business School	DENMARK	93662
451	Royal Holloway University of London	UNITED KINGDOM	93622
452	Universität Hamburg	GERMANY	93175
453	Universität Ulm	GERMANY	93029
454	University of Ulster	UNITED KINGDOM	92664
455	Università degli Studi di Modena e Reggio Emilia	ITALY	92428
456	Colorado School of Mines	USA	91958
457	Wright State University	USA	91590
458	Kyungpook (Kyungbook) National University / 경북대학교	SOUTH KOREA	91291
459	University of Manitoba	CANADA	91257
460	Concordia University Montréal	CANADA	90837
460	Universidad del País Vasco / Euskal Herriko Unibertsitatea	SPAIN	90837
462	Università degli Studi di Palermo	ITALY	90459
463	Politecnico di Milano	ITALY	90037
464	Lehigh University	USA	89869
465	Technische Universität Wien	AUSTRIA	89808
466	Nanjing University of Science & Technology / 南京理工大学	CHINA	89673
467	Open University UK	UNITED KINGDOM	89645
468	Universiti Sains Malaysia	MALAYSIA	89405
469	University of Montana Missoula	USA	89043
470	National Cheng Kung University	TAIWAN	88114
471	Chonnam National University (Yosu) / 전남대학교	SOUTH KOREA	88058
472	National University of Ireland Galway	IRELAND	87884
473	Inha University / 인하대학교	SOUTH KOREA	87782
474	Southern Methodist University	USA	87776
475	Universidad Autónoma de Madrid	SPAIN	87496
476	Shanghai University / 上海大学	CHINA	87427
477	Charité Universitätsmedizin Berlin	GERMANY	86919
478	Université de Fribourg / Universität Freiburg	SWITZERLAND	86905
479	New York Medical College	USA	86669
480	University of Windsor	CANADA	86584
481	Université du Luxembourg	LUXEMBOURG	86339
482	University of Wisconsin Milwaukee	USA	86295
483	Wuhan University of Technology / 武汉理工大学	CHINA	85996
484	Universidade Federal do Rio Grande do Sul UFRGS	BRAZIL	85953
485	West Virginia University	USA	85819
486	Massey University	NEW ZEALAND	85771
487	Bangor University	UNITED KINGDOM	85677
488	Hanyang University / 한양대학교	SOUTH KOREA	84923
489	University of Mississippi Medical Center	USA	84424
490	University of Oulu / Oulun yliopisto	FINLAND	84354
491	Institute of Education University of London	UNITED KINGDOM	84316
492	Universität Bielefeld	GERMANY	83822
493	Auckland University of Technology	NEW ZEALAND	83696
494	Bar Ilan University	ISRAEL	83661
495	Free University of Brussels / Vrije Universiteit Brussel VUB	BELGIUM	83589
496	Johann Wolfgang Goethe Universität Frankfurt am Main	GERMANY	83391
497	National and Kapodistrian University of Athens	GREECE	83360
498	École Polytechnique France	FRANCE	83181
499	Hong Kong Baptist University	HONG KONG	83094
500	University of Canterbury	NEW ZEALAND	83091
501	Université de Sherbrooke	CANADA	82829
502	University of Saskatchewan	CANADA	82803
503	University of Mississippi	USA	82611
504	Ruhr Universität Bochum	GERMANY	82608
505	Humboldt Universität zu Berlin	GERMANY	81888
506	Justus Liebig Universität Giessen	GERMANY	81667
507	Xidian University / 西安电子科技大学	CHINA	81526
508	Universitat Autònoma de Barcelona	SPAIN	81412
509	Universität Regensburg	GERMANY	81082
510	Université du Québec Montréal	CANADA	80845
511	University of Southern Denmark / Syddansk Universitet	DENMARK	80622
512	Université Montpellier	FRANCE	80565
513	University of Debrecen / Debreceni Egyetem DE	HUNGARY	80430
514	Pontificia Universidad Católica de Chile	CHILE	80105
515	Universitat Politècnica de Catalunya BarcelonaTech	SPAIN	79897
516	Heriot-Watt University	UNITED KINGDOM	79404
517	Chiba University / 千葉大学	JAPAN	79224
518	Università Commerciale Luigi Bocconi Milano	ITALY	78747
519	South China University of Technology / 华南理工大学	CHINA	78604
520	College of William & Mary	USA	78543
521	Université de Nice Sophia Antipolis	FRANCE	78456
522	Memorial University of Newfoundland	CANADA	77967
523	Kyushu University / 九州大学	JAPAN	77778
524	Universidad de Chile	CHILE	77404
525	Lanzhou University / 兰州大学	CHINA	77210
526	Hohai University / 河海大学	CHINA	77106
527	Oakland University	USA	77012
528	University of Massachusetts Lowell	USA	76642
529	Universidade de Santiago de Compostela	SPAIN	76608
530	Boğaziçi University	TURKEY	76593
531	Universität Bremen	GERMANY	76365
532	Technische Universität Darmstadt	GERMANY	76320
533	Santa Fe Institute	USA	76244
534	Baylor University	USA	76190
535	Università Cattolica del Sacro Cuore	ITALY	75664
536	Universidade Federal de São Paulo UNIFESP	BRAZIL	75561
537	University of North Carolina at Greensboro	USA	75419
538	École Normale Supérieure de Lyon	FRANCE	75391
539	Jilin University / 吉林大学	CHINA	74741
540	Okayama University / 岡山大学	JAPAN	74533
541	Indian Institute of Technology Delhi	INDIA	74295
542	Université de Lorraine	FRANCE	74157
543	Stellenbosch University	SOUTH AFRICA	74142
544	Université Claude Bernard Lyon 1	FRANCE	73725
545	City University London	UNITED KINGDOM	73649
546	HEC Montréal École de Gestion	CANADA	73514
547	Georgia Regents University (Augusta State University)	USA	73460
548	University of Hull	UNITED KINGDOM	73316
549	Université Paris Descartes Paris 5	FRANCE	73169
550	Beijing University of Technology (Beijing Polytechnic University) / 北京工业大学	CHINA	72840
551	Central South University (Zhongnan University) / 中南大学	CHINA	72818
552	Universität Mannheim	GERMANY	72609
553	Victoria University of Wellington	NEW ZEALAND	72589
554	Universitat Rovira i Virgili	SPAIN	72524
555	University of Tromso / Universitetet i Tromsø	NORWAY	72060
556	University of Texas El Paso	USA	72004
557	University of Alaska	USA	71939
558	University of New Brunswick	CANADA	71864
559	Université de Rennes 1	FRANCE	71032
560	Aristotle University of Thessaloniki	GREECE	70778
561	Technische Universität Graz	AUSTRIA	70394
562	University of Warsaw / Uniwersytet Warszawski	POLAND	70242
563	Singapore Management University	SINGAPORE	69922
564	Northern Arizona University	USA	69731
565	Medical College of Wisconsin	USA	69690
566	Universidade do Minho	PORTUGAL	69620
567	Nara Institute of Science & Technology / 奈良先端科学技術大学院大学	JAPAN	69589
568	East China Normal University / 华东师范大学	CHINA	69533
569	Indian Institute of Technology Madras	INDIA	69273
570	Ewha Womens University / 이화여자대학교	SOUTH KOREA	69095
571	Depaul University	USA	69043
572	Universidade Federal do ABC UFABC	BRAZIL	69032
573	École Polytechnique de Montréal	CANADA	68618
574	Ohio University	USA	68572
575	Technische Universität Braunschweig	GERMANY	68553
575	Clarkson University	USA	68553
577	Johannes Kepler Universität Linz	AUSTRIA	68129
578	Universidad de Málaga	SPAIN	68075
579	University of Malaya	MALAYSIA	67971
580	Université INRS Institut National de la Recherche Scientifique	CANADA	67922
581	University of Patras	GREECE	67414
582	Universita degli Studi Magna Graecia di Catanzaro	ITALY	67274
583	Università Politécnica delle Marche	ITALY	67246
584	Ben Gurion University of the Negev	ISRAEL	66920
585	Utah State University	USA	66544
586	Jyväskylä University / Jyväskylän yliopisto	FINLAND	66393
587	Uniformed Services University of the Health Sciences	USA	66151
588	University of Huddersfield	UNITED KINGDOM	65994
589	Northumbria University	UNITED KINGDOM	65960
590	Universidade do Porto	PORTUGAL	65773
591	Universidad Politécnica de Valencia	SPAIN	65620
592	University of Missouri Kansas City	USA	65549
593	Claremont Graduate University	USA	65236
594	National Taiwan University of Science & Technology	TAIWAN	65227
595	Swedish University of Agricultural Sciences / Sveriges Lantbruksuniversitet	SWEDEN	65200
596	Kyung Hee University / 경희대학교	SOUTH KOREA	65145
597	National Sun Yat Sen University	TAIWAN	65126
598	Universidad de Sevilla	SPAIN	65108
599	Universidade Nova de Lisboa	PORTUGAL	65066
600	Jinan University / 暨南大学	CHINA	64953
601	Fondation Nationale des Sciences Politiques Institut d'Études Politiques de Paris	FRANCE	64842
602	University of Regina	CANADA	64841
603	National Technical University of Athens	GREECE	64836
604	Manchester Metropolitan University	UNITED KINGDOM	64800
